alpha,threshold,run_path,round,recall,spec,tpr,fpr,precision,ppv,npv,f1,balanced_accuracy,youden,alerts_per_1000,auc,tp,fp,tn,fn,prevalence
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_4.json,7,0.7846937332013014,0.7109716719719696,0.7846937332013014,0.2890283280280303,0.30531704095112283,0.30531704095112283,0.9532670105625154,0.43959266156833215,0.7478327025866356,0.4956654051732712,358.08893093661305,0.8241881970561012,55470.0,126210.0,310460.0,15220.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_5.json,8,0.7531475456217287,0.7400325188357341,0.7531475456217287,0.25996748116426593,0.31926121372031663,0.31926121372031663,0.9487668819729889,0.44843124868393347,0.7465900322287313,0.49318006445746265,328.6818038473668,0.8248655073120342,53240.0,113520.0,323150.0,17450.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_6.json,6,0.7851181213750177,0.7113838825657819,0.7851181213750177,0.28861611743421806,0.30573458932407865,0.30573458932407865,0.9533805972439616,0.44009198318927917,0.7482510019703998,0.4965020039407997,357.7932828760643,0.8249974651099137,55500.0,126030.0,310640.0,15190.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_7.json,8,0.7930400339510539,0.7031396706895368,0.7930400339510539,0.2968603293104633,0.30190101782540796,0.30190101782540796,0.954518606024808,0.43731960371323814,0.7480898523202953,0.4961797046405907,365.9925890886156,0.8240477191637428,56060.0,129630.0,307040.0,14630.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_8.json,11,0.7742254915829679,0.7215517438798177,0.7742254915829679,0.2784482561201823,0.31040154264972775,0.31040154264972775,0.9517883035282745,0.44313995384802235,0.7478886177313928,0.4957772354627856,347.52444023967206,0.8248333058903142,54730.0,121590.0,315080.0,15960.0,0.13932907600126143
0.1,0.42,/Users/ginasixt/federated-learning/result/alpha01/thr_0.42/run_9.json,1,0.7365964068467958,0.7450477477271166,0.7365964068467958,0.25495225227288343,0.31866585067319464,0.31866585067319464,0.9458657983486451,0.44487163056943907,0.7408220772869563,0.4816441545739125,322.05928729107535,0.8199056703732952,52070.0,111330.0,325340.0,18620.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_1.json,19,0.7374451831942284,0.7535896672544484,0.7374451831942284,0.24641033274555155,0.32636323796406436,0.32636323796406436,0.9466099013318758,0.4524780834996962,0.7455174252243384,0.4910348504486768,314.82576474298327,0.8248875575109215,52130.0,107600.0,329070.0,18560.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_10.json,18,0.719903805347291,0.765543774475004,0.719903805347291,0.23445622552499598,0.3320284465322633,0.3320284465322633,0.9440820130475303,0.45445615288444363,0.7427237899111475,0.48544757982229503,302.09318826868497,0.8256493284676965,50890.0,102380.0,334290.0,19800.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_2.json,20,0.7449427075965483,0.7468110930450913,0.7449427075965483,0.25318890695490875,0.3226320303884328,0.3226320303884328,0.9476085314116348,0.4502586464879655,0.7458769003208199,0.49175380064163976,321.7045096184169,0.8239691156229073,52660.0,110560.0,326110.0,18030.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_3.json,5,0.7119818927712548,0.7705819039549316,0.7119818927712548,0.22941809604506835,0.3343963856222178,0.3343963856222178,0.9429452150763626,0.45506329113924054,0.7412818983630932,0.48256379672618643,296.65326395458845,0.8239822796548147,50330.0,100180.0,336490.0,20360.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_4.json,12,0.7080209364832367,0.77575743696613,0.7080209364832367,0.22424256303386997,0.3382442386970332,0.3382442386970332,0.942569353626979,0.4577883472057075,0.7418891867246833,0.4837783734493666,291.64695679596343,0.8252177176511505,50050.0,97920.0,338750.0,20640.0,0.13932907600126143
