alpha,split,threshold,run_path,round,recall,spec,tpr,fpr,precision,ppv,npv,f1,balanced_accuracy,youden,alerts_per_1000,auc,tp,fp,tn,fn,prevalence
0.3,dirichlet,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_2.json,19,0.7767718206252653,0.7131243272952115,0.7767718206252653,0.28687567270478853,0.30475080475080474,0.30475080475080474,0.9517696680726205,0.43775660700761343,0.7449480739602383,0.48989614792047664,355.1324503311258,0.8222468951487983,54910.0,125270.0,311400.0,15780.0,0.13932907600126143
0.3,dirichlet,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_3.json,9,0.7671523553543641,0.7246433233334098,0.7671523553543641,0.2753566766665903,0.31082707628818707,0.31082707628818707,0.9505542371353901,0.4424049600261054,0.7458978393438869,0.49179567868777374,343.8781141595711,0.8228906789949345,54230.0,120240.0,316430.0,16460.0,0.13932907600126143
0.3,dirichlet,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_4.json,8,0.7797425378412788,0.7131930290608468,0.7797425378412788,0.28680697093915314,0.3056110002217787,0.3056110002217787,0.9523853211009174,0.439115714001195,0.7464677834510628,0.4929355669021256,355.4872280037843,0.8221051716380647,55120.0,125240.0,311430.0,15570.0,0.13932907600126143
0.3,dirichlet,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_5.json,13,0.7685669826000848,0.7229715803696155,0.7685669826000848,0.2770284196303845,0.30992584141471763,0.30992584141471763,0.950731795458652,0.441725273385097,0.7457692814848502,0.49153856296970044,345.5140334279407,0.8218281211666154,54330.0,120970.0,315700.0,16360.0,0.13932907600126143
0.3,dirichlet,0.42,/Users/ginasixt/federated-learning/result/alpha03/thr_0.42/run_1.json,2,0.8975809874098175,0.5558201845787436,0.8975809874098175,0.44417981542125634,0.24649392020512023,0.24649392020512023,0.9710342068413683,0.3867723255105151,0.7267005859942806,0.4534011719885611,507.35178177231154,0.820225502733601,63450.0,193960.0,242710.0,7240.0,0.13932907600126143
0.3,dirichlet,0.42,/Users/ginasixt/federated-learning/result/alpha03/thr_0.42/run_2.json,1,0.821615504314613,0.6638880619231915,0.821615504314613,0.33611193807680856,0.2835245301440078,0.2835245301440078,0.9583154275891707,0.4215721855266023,0.7427517831189023,0.48550356623780466,403.75670135603906,0.8192264892601148,58080.0,146770.0,289900.0,12610.0,0.13932907600126143
0.3,dirichlet,0.42,/Users/ginasixt/federated-learning/result/alpha03/thr_0.42/run_3.json,1,0.8387324939878342,0.6436210410607552,0.8387324939878342,0.35637895893924476,0.2758829277371923,0.2758829277371923,0.961018977603009,0.4151960784313725,0.7411767675242947,0.48235353504858947,423.5848312835068,0.8192333685075013,59290.0,155620.0,281050.0,11400.0,0.13932907600126143
0.3,dirichlet,0.42,/Users/ginasixt/federated-learning/result/alpha03/thr_0.42/run_4.json,2,0.8782005941434432,0.5951633956992695,0.8782005941434432,0.40483660430073054,0.2599011973540986,0.2599011973540986,0.9679329608938547,0.40109836859958004,0.7366819949213563,0.47336398984271266,470.7899716177862,0.8218309590383888,62080.0,176780.0,259890.0,8610.0,0.13932907600126143
0.3,dirichlet,0.42,/Users/ginasixt/federated-learning/result/alpha03/thr_0.42/run_5.json,1,0.8409958975809874,0.6367966656743078,0.8409958975809874,0.3632033343256922,0.27264388901628067,0.27264388901628067,0.9611489405827659,0.4117891528710951,0.7388962816276476,0.4777925632552953,429.7737306843267,0.8182293450240865,59450.0,158600.0,278070.0,11240.0,0.13932907600126143
0.3,dirichlet,0.5,/Users/ginasixt/federated-learning/result/alpha03/thr_0.5/run_1.json,9,0.6156457773376716,0.8289326035679117,0.6156457773376716,0.1710673964320883,0.3681272204364744,0.3681272204364744,0.9301793698925837,0.46074850457890004,0.7222891904527916,0.4445783809055832,233.01009145380004,0.8227407318112593,43520.0,74700.0,361970.0,27170.0,0.13932907600126143
